batch_size,learning_rate,num_epoch,accuracy_score,f1_score,precision_score,tp,tn,fp,fn,report_detail
64,0.003,10,87.08,88.36,80.41,353,274,86,7,L512_256&BN&REL&DOP.2&L256_128&BN&REL&DROP.2&L128_64
64,0.0005,10,77.22,81.19,69.14,354,202,158,6,-
64,0.0028,10,87.08,88.12,81.56,345,282,78,15,-
64,0.0028,10,82.78,83.33,80.73,310,286,74,50,-
64,0.003,10,81.67,81.67,81.67,294,294,66,66,-
64,0.003,10,83.89,85.85,76.52,352,252,108,8,-
64,0.0027,10,85.69,87.33,78.37,355,262,98,5,-
64,0.0026,10,85.69,87.27,78.62,353,264,96,7,-
64,0.0025,10,87.22,88.5,80.45,354,274,86,6,-
64,0.002,10,86.81,88.02,80.6,349,276,84,11,-
64,0.0024,10,80.56,83.57,72.36,356,224,136,4,-
64,0.0025,50,87.92,88.8,82.73,345,288,72,15,-
64,0.0025,50,87.92,88.8,82.73,345,288,72,15,logs/13.md
64,0.003,10,84.03,84.4,82.49,311,294,66,49,logs/14.md
64,0.0025,5,66.11,52.34,88.16,134,342,18,226,logs/15.md
64,0.0025,5,84.44,84.53,84.07,306,302,58,54,logs/16.md
64,0.003,5,84.17,84.03,84.75,300,306,54,60,logs/17.md
128,0.003,20,82.92,82.25,85.59,285,312,48,75,logs/18.md
70,0.003,20,84.44,86.41,76.72,356,252,108,4,logs/19.md
64,0.003,5,75.14,80.04,66.85,359,182,178,1,logs/20.md
64,0.003,5,82.5,82.15,83.82,290,304,56,70,logs/21.md
64,0.003,5,82.08,83.52,77.3,327,264,96,33,logs/22.md
64,0.003,20,85.56,86.53,81.07,334,282,78,26,logs/23.md
64,0.003,10,84.72,86.62,77.06,356,254,106,4,logs/24.md
80,0.003,1,88.19,88.62,85.53,331,304,56,29,logs/25.md
80,0.003,30,85.56,85.23,87.21,300,316,44,60,logs/26.md
100,0.0005,5,79.17,82.1,71.97,344,226,134,16,logs/27.md
64,0.004,5,86.39,87.84,79.37,354,268,92,6,logs/28.md
64,0.004,5,84.58,86.55,76.77,357,252,108,3,logs/29.md
64,0.02,5,86.81,87.58,82.72,335,290,70,25,logs/30.md
100,0.02,10,87.64,87.62,87.74,315,316,44,45,logs/31.md
100,0.02,20,74.17,66.43,94.85,184,350,10,176,logs/32.md
70,0.02,20,69.72,57.92,94.94,150,352,8,210,logs/33.md
70,0.02,5,83.89,84.32,82.11,312,292,68,48,logs/34.md
80,0.02,1,87.64,88.27,83.96,335,296,64,25,logs/35.md
160,0.02,1,81.53,81.81,80.59,299,288,72,61,logs/36.md
100,0.02,1,85.42,85.31,85.92,305,310,50,55,logs/37.md
100,0.03,1,81.81,81.63,82.44,291,298,62,69,logs/38.md
100,0.003,1,87.78,87.71,88.2,314,318,42,46,logs/39.md
100,0.0035,1,90.28,90.62,87.56,338,312,48,22,logs/40.md
100,0.0035,5,85.69,87.27,78.62,353,264,96,7,logs/41.md
100,0.0035,2,84.86,86.82,76.87,359,252,108,1,logs/42.md
100,0.0033,1,89.31,89.64,86.95,333,310,50,27,logs/43.md
100,0.0033,500,66.94,52.96,91.78,134,348,12,226,logs/44.md
100,0.0034,500,67.92,53.52,97.08,133,356,4,227,logs/45.md
100,0.0034,20,88.89,89.85,82.71,354,286,74,6,logs/46.md
100,0.0034,1,82.64,84.89,75.16,351,244,116,9,logs/47.md
100,0.0035,1,86.94,87.53,83.76,330,296,64,30,logs/48.md
100,0.0036,1,83.47,85.14,77.32,341,260,100,19,logs/49.md
100,0.00355,1,81.11,82.91,75.69,330,254,106,30,logs/50.md
100,0.00352,1,86.94,87.92,81.82,342,284,76,18,logs/51.md
100,0.00353,1,83.75,85.43,77.43,343,260,100,17,logs/52.md
100,0.00353,1,84.86,86.01,79.95,335,276,84,25,logs/53.md
100,0.00353,1,85.14,86.71,78.43,349,264,96,11,logs/54.md
100,0.00353,1,66.67,75.0,60.0,360,120,240,0,logs/55.md
100,0.003,5,72.22,78.17,64.39,358,162,198,2,logs/56.md
100,0.003,20,75.42,80.22,67.1,359,184,176,1,logs/57.md
100,0.003,20,83.33,84.21,80.0,320,280,80,40,logs/58.md
100,0.003,20,66.67,75.0,60.0,360,120,240,0,logs/59.md
100,0.003,5,83.75,83.64,84.23,299,304,56,61,logs/60.md
100,0.0035,5,78.75,76.35,86.06,247,320,40,113,logs/61.md
256,0.0035,10,74.86,77.68,69.84,315,224,136,45,logs/62.md
100,0.0035,10,69.58,73.06,65.56,297,204,156,63,logs/63.md
100,0.0035,10,84.03,84.22,83.2,307,298,62,53,logs/64.md
100,0.0035,1,86.11,86.11,86.11,310,310,50,50,logs/65.md
100,0.0035,3,82.78,82.58,83.52,294,302,58,66,logs/66.md
100,0.0034,2,85.28,86.51,79.81,340,274,86,20,logs/67.md
100,0.003,5,86.53,87.42,82.0,337,286,74,23,logs/68.md
100,0.003,20,82.22,81.4,85.37,280,312,48,80,logs/69.md
100,0.003,4,86.25,87.76,79.06,355,266,94,5,logs/70.md
100,0.0035,1,89.58,89.88,87.4,333,312,48,27,logs/71.md
100,0.0035,1,89.44,89.84,86.6,336,308,52,24,logs/72.md
100,0.0035,1,88.75,89.21,85.68,335,304,56,25,logs/73.md
100,0.0035,1,89.17,89.71,85.43,340,302,58,20,logs/74.md
100,0.01,10,85.83,86.25,83.77,320,298,62,40,logs/75.md
